Accident Type,Date,Speed (Km),Simple Injuries,Severe Injuries,Death,Medium Injuries,Road Lanes,Road Surfuce Description,Vehicle Country,Driver Licensee Type,Road Type,Light,Weather,Road Proerties,Driver Mistake,City,Vehicle type,Number of Cars,Driver Age,Sex
Collision,2018-01-09 14:00,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Open door while driving or parking,Aqaba,Passengers vehicle (up to 9 seats),2,38,Male
Collision,2018-01-09 14:00,40,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Aqaba,Passengers vehicle (up to 9 seats),2,46,Female
Collision,2018-01-09 22:40,60,0,0,0,0,Two ways,dry,Jordan,class5,asphalt,day,clear,flat straight,Violation of traffic rules,Maan,Passenger and cargo vehicle,2,31,Male
Collision,2018-01-09 22:40,60,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,day,clear,flat straight,Improper reversing,Maan,Truck,2,37,Male
Collision,2018-04-09 17:47,60,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,night with enough light,clear,flat straight,Violation of traffic rules,Irbid,Passengers vehicle (up to 9 seats),2,35,Male
Collision,2018-04-09 17:47,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,night with enough light,clear,flat straight,Neglecting traffic safety precautions,Irbid,Passengers vehicle (up to 9 seats),2,23,Male
Collision,2018-04-09 16:25,60,0,0,0,0,Two ways with median island,dry,Jordan,class 6ab,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Irbid,Bus (> 30 seats),3,52,Male
Collision,2018-04-09 16:25,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Neglecting traffic safety precautions,Irbid,Passengers vehicle (up to 9 seats),3,25,Male
Collision,2018-04-09 16:25,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Irbid,Passengers vehicle (up to 9 seats),3,0,Unkown
Collision,2018-01-09 12:35,60,0,0,0,0,Two ways with median island,dry,Jordan,class4,asphalt,day,clear,flat straight,Violation of traffic rules,Irbid,Passengers vehicle (up to 9 seats),2,31,Female
Collision,2018-01-09 12:35,60,0,0,0,0,Two ways with median island,dry,Jordan,class 3,asphalt,day,clear,flat straight,Violation of traffic rules,Irbid,Passengers vehicle (up to 9 seats),2,32,Female
Collision,2018-01-09 12:52,50,0,0,0,0,Two ways,dry,Jordan,class 3,asphalt,sunset,clear,flat straight,Open door while driving or parking,Zarqa,Passengers vehicle (up to 9 seats),2,34,Male
